paper_id,avg_period,pollutant,pollutant_raw,setting,unit,summary_type,value,variability_type,variability_value,unit_norm,summary_type_norm,value_ugm3,who_band
Ho_2024_940-4,Daily average,PM2.5,PM2.5,Not specified,μg/m³,Mean,38.95,SD,9.65,μg/m³,mean,38.95,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Zhang_2024_2548,Daily average,Ammonium (NH4+),NH₄⁺,Outdoor,μg/m³,Mean,8.01,SD,3.59,μg/m³,mean,8.01,No WHO 24-hr guideline available
Yang_2021_1085,Daily average,NO2,NO2,Outdoor,μg/m³,Mean,39.49,SD,7.06,μg/m³,mean,39.49,Moderate (25.1–120 — meets IT-1)
Hautekiet_2021_6332,Daily average,PM2.5,"PM2.5 (sub‑chronic, month)",Outdoor,μg/m³,Mean,13.6,IQR,NA,μg/m³,mean,13.6,Low (≤25 — meets AQG/IT-4)
Yue Guo_2021_9063,Daily average,PM0.2,PM0.2,Not specified,μg/m³,Mean,9.9,SD,5,μg/m³,mean,9.9,No WHO 24-hr guideline available
Chen_2021_6329,Daily average,PM1,PM1.0 (non‑CRD group),Not specified,μg/m³,Mean,25.2,SD,NA,μg/m³,mean,25.2,No WHO 24-hr guideline available
Zhang_2019_8687,Daily average,SO2,SO2 (during games),Outdoor,μg/m³,Mean,30.6,SD,15.1,μg/m³,mean,30.6,Low (≤40 — meets AQG)
Zhao_2024_3435,Daily average,O3,O3,Outdoor,μg/m³,Mean,35.1,SD,19.2,μg/m³,mean,35.1,No WHO 24-hr guideline available
Zhang_2024_1897,Daily average,PM2.5,PM2.5,Indoor,μg/m³,Mean,8.6,SD,6.6,μg/m³,mean,8.6,Low (≤25 — meets AQG/IT-4)
Zu_2024_0104,Daily average,PM2.5,PM2.5 (Second trimester),Outdoor,μg/m³,Mean,59.42,SD,16.72,μg/m³,mean,59.42,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Romero-Gutierrez_2024_7505,Daily average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,6.18,SD; IQR,NA,μg/m³,mean,6.18,Low (≤25 — meets AQG/IT-4)
Raqib_2023_8137,Daily average,CO,"Carbon Monoxide (baseline, pre-intervention)",Not specified,μg/m³,Mean,1.02,SD,0.52,μg/m³,mean,1.02,Low (≤4000 — meets AQG)
Wei_2023_4322,Daily average,PM2.5,PM2.5 5-yr,Outdoor,μg/m³,Mean,59.79,SD 17.88,NA,μg/m³,mean,59.79,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Wu_2021_5619,Daily average,Ammonium (NH4+),NH₄⁺,Outdoor,μg/m³,Mean,5.31,SD,3.42,μg/m³,mean,5.31,No WHO 24-hr guideline available
Huang_2021_4400,Daily average,Organic Carbon,Organic Carbon,Outdoor,μg/m³,Mean,8.2,SD,3.7,μg/m³,mean,8.2,No WHO 24-hr guideline available
Zhang_2024_2548,Daily average,Organic Matter (OM),OM,Outdoor,μg/m³,Mean,12.78,SD,4.85,μg/m³,mean,12.78,No WHO 24-hr guideline available
Yang_2021_1085,Daily average,CO,CO,Outdoor,μg/m³,Mean,0.66,SD,0.09,μg/m³,mean,0.66,Low (≤4000 — meets AQG)
Hautekiet_2021_6332,Daily average,Black Carbon,"BC (sub‑chronic, month)",Outdoor,μg/m³,Mean,1.4,IQR,NA,μg/m³,mean,1.4,No WHO 24-hr guideline available
Chen_2021_6329,Daily average,PM2.5,PM2.5 (non‑CRD group),Not specified,μg/m³,Mean,43.9,SD,NA,μg/m³,mean,43.9,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Zhang_2019_8687,Daily average,PM10,PM10 (before games),Outdoor,μg/m³,Mean,63.9,SD,31.5,μg/m³,mean,63.9,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Zhao_2024_3435,Daily average,O3,O3,Outdoor,μg/m³,Mean,53.5,SD,6.1,μg/m³,mean,53.5,No WHO 24-hr guideline available
Zhang_2024_1897,Daily average,PM2.5,PM2.5,Not specified,μg/m³,Mean,4.2,SD,2,μg/m³,mean,4.2,Low (≤25 — meets AQG/IT-4)
Zu_2024_0104,Daily average,PM10,PM10 (Second trimester),Outdoor,μg/m³,Mean,92.72,SD,17.33,μg/m³,mean,92.72,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Romero-Gutierrez_2024_7505,Daily average,Black Carbon,Black Carbon,Outdoor,μg/m³,Mean,0.52,SD; IQR,NA,μg/m³,mean,0.52,No WHO 24-hr guideline available
Raqib_2023_8137,Daily average,CO,Carbon Monoxide (post-intervention),Not specified,μg/m³,Mean,0.25,SD,0.42,μg/m³,mean,0.25,Low (≤4000 — meets AQG)
Wu_2021_5619,Daily average,Sulfate (SO4 2-),SO₄²⁻,Outdoor,μg/m³,Mean,5.98,SD,2.65,μg/m³,mean,5.98,No WHO 24-hr guideline available
Huang_2021_4400,Daily average,Black Carbon,Elemental Carbon,Outdoor,μg/m³,Mean,2.1,SD,0.9,μg/m³,mean,2.1,No WHO 24-hr guideline available
Zhang_2024_2548,Daily average,Black Carbon,BC,Outdoor,μg/m³,Mean,2.55,SD,0.82,μg/m³,mean,2.55,No WHO 24-hr guideline available
Yang_2021_1085,Daily average,SO2,SO2,Outdoor,μg/m³,Mean,6.21,SD,1.85,μg/m³,mean,6.21,Low (≤40 — meets AQG)
Hautekiet_2021_6332,Daily average,NO2,"NO₂ (sub‑chronic, month)",Outdoor,μg/m³,Mean,21.5,IQR,NA,μg/m³,mean,21.5,Low (≤25 — meets AQG)
Yue Guo_2021_9063,Daily average,Chloride (Cl-),Cl⁻,Not specified,μg/m³,Mean,0.6,SD,0.4,μg/m³,mean,0.6,No WHO 24-hr guideline available
Chen_2021_6329,Daily average,PM10,PM10 (non‑CRD group),Not specified,μg/m³,Mean,53.1,SD,NA,μg/m³,mean,53.1,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
